applicationData,action/applicationData,action/handle/identifier,action/handle/permission,action/handle/actionType,action/reachJointAngles/jointAngles/0/jointAngles/0/value,action/reachJointAngles/jointAngles/0/jointAngles/0/jointIdentifier,action/reachJointAngles/jointAngles/0/jointAngles/1/value,action/reachJointAngles/jointAngles/0/jointAngles/1/jointIdentifier,action/reachJointAngles/jointAngles/0/jointAngles/2/value,action/reachJointAngles/jointAngles/0/jointAngles/2/jointIdentifier,action/reachJointAngles/jointAngles/0/jointAngles/3/value,action/reachJointAngles/jointAngles/0/jointAngles/3/jointIdentifier,action/reachJointAngles/jointAngles/0/jointAngles/4/value,action/reachJointAngles/jointAngles/0/jointAngles/4/jointIdentifier,action/reachJointAngles/jointAngles/0/jointAngles/5/value,action/reachJointAngles/jointAngles/0/jointAngles/5/jointIdentifier,action/reachJointAngles/constraint/type,action/reachJointAngles/constraint/value,action/name,groupIdentifier
"{""kinova"":{}}","{""kinova"":{""color"":0}}",10178,7,7,328.54876708984375,0,316.00091552734375,1,268.12396240234375,2,278.47052001953125,3,112.00707244873047,4,126.41644287109375,5,0,0,Snapshot (2022-02-02 20:32:34),0
"{""kinova"":{}}","{""kinova"":{""color"":0}}",10180,7,7,328.5484924316406,0,314.397705078125,1,268.1072082519531,2,278.5809631347656,3,57.54998779296875,4,161.170654296875,5,0,0,Snapshot (2022-02-02 20:32:37),1
"{""kinova"":{}}","{""kinova"":{""color"":0}}",10181,7,7,328.54833984375,0,318.2538757324219,1,265.5903625488281,2,276.1181640625,3,37.469120025634766,4,196.5556182861328,5,0,0,Snapshot (2022-02-02 20:32:39),2
"{""kinova"":{}}","{""kinova"":{""color"":0}}",10170,7,7,353.53741455078125,0,357.12860107421875,1,243.8941192626953,2,332.269287109375,3,12.612777709960938,4,115.52416229248047,5,0,0,New Joint Angles,3
"{""kinova"":{}}","{""kinova"":{""color"":0}}",10171,7,7,295.71044921875,0,28.847808837890625,1,258.4859313964844,2,277.075439453125,3,62.154911041259766,4,140.92823791503906,5,0,0,New Joint Angles,4
"{""kinova"":{}}","{""kinova"":{""color"":0}}",10172,7,7,303.0635986328125,0,12.764886856079102,1,272.9439697265625,2,261.3058166503906,3,55.32206344604492,4,176.6981658935547,5,0,0,New Joint Angles,5
"{""kinova"":{}}","{""kinova"":{""color"":0}}",10177,7,7,328.5472717285156,0,319.5335388183594,1,268.31768798828125,2,288.5321350097656,3,105.76637268066406,4,126.41791534423828,5,0,0,New Joint Angles,6
"{""kinova"":{}}","{""kinova"":{""color"":0}}",10189,7,7,82.39083099365234,0,289.608642578125,1,221.22792053222656,2,62.93987274169922,3,12.431818008422852,4,349.2496032714844,5,0,0,Snapshot (2022-02-02 20:34:22),7
"{""kinova"":{}}","{""kinova"":{""color"":0}}",10190,7,7,82.39290618896484,0,298.2698669433594,1,251.22674560546875,2,62.94009017944336,3,11.896352767944336,4,349.2503356933594,5,0,0,Snapshot (2022-02-02 20:34:35),8
"{""kinova"":{}}","{""kinova"":{""color"":0}}",10191,7,7,82.40624237060547,0,342.609130859375,1,269.3731994628906,2,62.94036102294922,3,11.8799467086792,4,349.2503356933594,5,0,0,Snapshot (2022-02-02 20:34:38),9
"{""kinova"":{}}","{""kinova"":{""color"":0}}",10192,7,7,63.87797164916992,0,23.1409854888916,1,262.88287353515625,2,62.9401969909668,3,11.892210960388184,4,349.2502136230469,5,0,0,Snapshot (2022-02-02 20:34:40),10
"{""kinova"":{}}","{""kinova"":{""color"":0}}",10193,7,7,102.5177230834961,0,359.1256408691406,1,246.8451385498047,2,98.24606323242188,3,319.96844482421875,4,349.2502746582031,5,0,0,Snapshot (2022-02-02 20:34:48),11
"{""kinova"":{}}","{""kinova"":{""color"":0}}",10194,7,7,103.93897247314453,0,0.8467276096343994,1,219.40589904785156,2,46.94895553588867,3,251.32998657226562,4,348.82818603515625,5,0,0,Snapshot (2022-02-02 20:34:50),12
"{""kinova"":{}}","{""kinova"":{""color"":0}}",10195,7,7,103.94623565673828,0,0.9031881093978882,1,227.55862426757812,2,67.27629852294922,3,299.2168273925781,4,347.3457946777344,5,0,0,Snapshot (2022-02-02 20:35:00),13
